"California State University, Fullerton",Masters,3.50,151,Wait listed
"University Of California, Los Angeles (UCLA)",PhD,4.00,170,Interview
Stanford University,PhD,4.00,170,Accepted
University Of Washington,PhD,4.00,170,Accepted
Arizona State University,Masters,3.94,167,Accepted
University Of Pennsylvania,Masters,3.34,163,Rejected
University Of Pennsylvania,Masters,3.83,170,Rejected
University Of Pennsylvania,Masters,3.30,169,Rejected
University Of Pennsylvania,Masters,3.89,167,Rejected
Arizona State University,Masters,3.60,166,Rejected
Cornell Tech,Masters,3.81,166,Interview
University Of Pennsylvania,Masters,3.76,167,Rejected
Rochester Institute Of Technology,Masters,3.62,170,Accepted
University Of Texas At Dallas,Masters,3.96,160,Accepted
University Of Pennsylvania,Masters,3.80,165,Rejected
University Of Pennsylvania,Masters,3.40,160,Rejected
Columbia University,Masters,3.60,156,Accepted
University Of Texas At Dallas,Masters,3.55,166,Accepted
Arizona State University,Masters,3.55,166,Accepted
SUNY Stony Brook,Masters,2.58,166,Accepted
University Of Texas At Dallas,Masters,3.55,166,Accepted
Arizona State University,Masters,3.62,164,Accepted
University Of Texas At Dallas,Masters,3.70,162,Accepted
Arizona State University,Masters,3.60,168,Rejected
Georgia Institute Of Technology,PhD,3.19,162,Interview
University Of Southern California,Masters,3.80,167,Accepted
SUNY Stony Brook,PhD,3.70,168,Rejected
Penn State (Pennsylvania State University),PhD,3.70,168,Rejected
Sri Manakula Vinayagar Engineering College,Masters,3.20,149,Accepted
University Of Maryland,PhD,3.30,168,Accepted
Carnegie Mellon University (CMU) - Robotics Institute,Masters,3.31,163,Accepted
Arizona State University,PhD,3.25,170,Accepted
University Of Southern California,Masters,3.91,170,Accepted
Penn State (PSU) University Park,Masters,3.50,169,Rejected
University Of Southern California,Masters,3.80,165,Rejected
"University Of Massachusetts, Amherst",Masters,3.91,170,Accepted
University Of Florida,Masters,3.67,162,Rejected
University Of Virginia,Masters,3.00,165,Accepted
University Of Waterloo,Masters,3.66,168,Rejected
University Of Toronto,PhD,3.60,167,Accepted
New York University,Masters,3.49,170,Accepted
Missouri University Of Science &amp; Technology,PhD,3.50,160,Accepted
Columbia University (Fu Foundation),Masters,3.59,168,Wait listed
Columbia University,Masters,3.94,170,Wait listed
