,0,1,2,3,4,5
0,0,"California State University, Fullerton",Masters,3.50,151,Wait listed
1,1,"University Of California, Los Angeles (UCLA)",PhD,4.00,170,Interview
2,2,Stanford University,PhD,4.00,170,Accepted
3,3,University Of Washington,PhD,4.00,170,Accepted
4,4,Arizona State University,Masters,3.90,,Accepted
5,5,Arizona State University,Masters,3.94,167,Accepted
6,6,Penn State (Pennsylvania State University),PhD,3.10,,Interview
7,7,University Of Pennsylvania,Masters,3.34,163,Rejected
8,8,University Of Pennsylvania,Masters,3.83,170,Rejected
9,9,University Of Pennsylvania,Masters,3.30,169,Rejected
10,10,University Of Pennsylvania,Masters,3.89,167,Rejected
11,11,Arizona State University,Masters,3.60,166,Rejected
12,12,University Of Pennsylvania,Masters,3.61,,Rejected
13,13,Cornell Tech,Masters,3.81,166,Interview
14,14,Leiden University,Masters,3.85,,Accepted
15,15,University Of Pennsylvania,Masters,3.76,167,Rejected
16,16,University Of Notre Dame,PhD,3.46,,Accepted
17,17,Rochester Institute Of Technology,Masters,3.62,170,Accepted
18,18,University Of Texas At Dallas,Masters,3.96,160,Accepted
19,19,Arizona State University,Masters,,166,Rejected
20,20,University Of Pennsylvania,Masters,3.80,165,Rejected
21,21,Ohio State University,PhD,3.85,,Accepted
22,22,University Of Pennsylvania,Masters,3.40,160,Rejected
23,23,Columbia University,Masters,3.60,156,Accepted
24,24,Columbia University,Masters,4.00,,Accepted
25,25,University Of Texas At Dallas,Masters,3.55,166,Accepted
26,26,Arizona State University,Masters,3.55,166,Accepted
27,27,SUNY Stony Brook,Masters,2.58,166,Accepted
28,28,Illinois Institute Of Technology,Masters,3.20,,Rejected
29,29,University Of Texas At Dallas,Masters,3.55,166,Accepted
30,30,Arizona State University,Masters,3.62,164,Accepted
31,31,The Ohio State University,PhD,3.85,,Interview
32,32,University Of Texas At Dallas,Masters,3.70,162,Accepted
33,33,Arizona State University,Masters,3.60,168,Rejected
34,34,Georgia Institute Of Technology,PhD,3.19,162,Interview
35,35,Harvard,PhD,3.23,,Interview
36,36,University Of Southern California,Masters,,170,Accepted
37,37,University Of Southern California,Masters,3.80,167,Accepted
38,38,University Of Waterloo,Masters,3.78,,Accepted
39,39,Arizona State University,Masters,,170,Accepted
40,40,Arizona State University,Masters,,170,Accepted
41,41,SUNY Stony Brook,PhD,3.70,168,Rejected
42,42,Penn State (Pennsylvania State University),PhD,3.70,168,Rejected
43,43,Sri Manakula Vinayagar Engineering College,Masters,3.20,149,Accepted
44,44,University Of Maryland,PhD,3.30,168,Accepted
45,45,Carnegie Mellon University (CMU) - Robotics Institute,Masters,3.31,163,Accepted
46,46,Arizona State University,PhD,3.25,170,Accepted
47,47,Simon Fraser University,Masters,3.50,,Rejected
48,48,University Of Southern California,Masters,3.91,170,Accepted
49,49,Penn State (PSU) University Park,Masters,3.50,169,Rejected
50,50,California State University Long Beach,Masters,3.60,,Accepted
51,51,University Of Southern California,Masters,3.80,165,Rejected
52,52,"University Of Massachusetts, Amherst",Masters,3.91,170,Accepted
53,53,Washington University In St. Louis (WashU/WUSTL),Masters,3.60,,Accepted
54,54,University Of Florida,Masters,3.67,162,Rejected
55,55,University Of Waterloo,Masters,3.66,,Accepted
56,56,University Of Montreal,Masters,3.50,,Accepted
57,57,University Of Virginia,Masters,3.00,165,Accepted
58,58,University Of Waterloo,Masters,3.66,168,Rejected
59,59,University Of Waterloo,Masters,3.90,,Rejected
60,60,Princeton University,PhD,3.50,,Rejected
61,61,University Of Toronto,PhD,3.60,167,Accepted
62,62,New York University,Masters,3.49,170,Accepted
63,63,Columbia University,Masters,4.00,,Rejected
64,64,Missouri University Of Science &amp; Technology,PhD,3.50,160,Accepted
65,65,Columbia University,Masters,,167,Wait listed
